id,reference_id,specimen_id,reviewer,nistir_id,comp_type,sub_type,connection_detail,material_class,size_class,test_type,gm_record,peak_test_amplitude,location,design_objective,comp_description,ds_description,proir_damage,is_repaired,ds_intensity,ds_intensity_unit,ds_intensity_alt,ds_intensity_unit_alt,ds_rank,ds_class,notes
11,LEE-2007-SEI,Specimen No.2,Jitendra,C1011,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Gap around door frame,Out of plane deformation of gypsum board at lower interior corner next to door,,0.06,drift,,,,,
12,LEE-2007-SEI,Specimen No. 3,Jitendra,C1011,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Out of plane deformation of gypsum boards of orthogonal wall at corners,No prior damage,,0.01,drift,,,,,
13,LEE-2007-SEI,Specimen No. 3,Jitendra,C1011,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Crushing of gypsum boards at corners of orthogonal wall,Out of plane deformation of gypsum boards of orthogonal wall at corners,,0.015,drift,,,,,
14,LEE-2007-SEI,Specimen No. 3,Jitendra,C1011,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Crushing of gypsum boards at corners of inplane and orthogonal wall. ,Crushing of gypsum boards at corners of orthogonal wall,,0.04,drift,,,,,
15,LEE-2007-SEI,Specimen No. 3,Jitendra,C1011,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Extended crushing of gypsum boards of inplane and orthogonal wall. ,Crushing of gypsum boards at corners of inplane and orthogonal wall.,,0.06,,,,,,
16,LEE-2007-SEI,Specimen No. 3,Jitendra,C1011,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Detachment and falling of gypsum plasterboard on inplane wall,Extended crushing of gypsum boards of inplane and orthogonal wall.,,0.08,drift,,,,,
17,LEE-2007-SEI,Specimen No. 4,Jitendra,C1011,Internal partition walls,Full height,Sliding,CFS,,Dynamic sinusoidal drift cycles,"No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Crushing of gypsum board at corners.,No prior damage,,0.01,drift,,,,,
18,LEE-2007-SEI,Specimen No. 4,Jitendra,C1011,Internal partition walls,Full height,Sliding,CFS,,Dynamic sinusoidal drift cycles,"No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Joint cracks in vertical joints of gypsum boards,Crushing of gypsum board at corners.,,0.02,drift,,,,,
19,LEE-2007-SEI,Specimen No. 4,Jitendra,C1011,Internal partition walls,Full height,Sliding,CFS,,Dynamic sinusoidal drift cycles,"No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Cracks in gypsum board,Joint cracks in vertical joints of gypsum boards,,0.04,drift,,,,,
20,LEE-2007-SEI,Specimen No. 4,Jitendra,C1011,Internal partition walls,Full height,Sliding,CFS,,Dynamic sinusoidal drift cycles,"No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Detachment and falling of gypsum board ,Cracks in gypsum board,,0.1,drift,,,,,
21,WAN-2017-SHA,50,,,Elevators,,,,,Dynamic,DEN100,100% scale,California,,Traction elevator with a total weight of 25kN and a 16kN counterweight,Door gaps (<25mm) generated and minor crushing of the door against partition walls,,,0.025,drift,,,1,,"""inspection conducted during the demolition stage (after all tests were complete) revealed no visible damage to the cabin, the counterweight, the guide rail and anchorage system"" "
22,WAN-2017-SHA,50,,,Elevators,,,,,Dynamic,DEN100,100% scale,California,,Traction elevator with a total weight of 25kN and a 16kN counterweight,inoperability of elevator due to substantial door gaps (200 mm) and crushing against partition walls,,,0.035,drift,,,2,,
23,PAN-2016-FUL,48,,,Stairs,,,,,Dynamic,ICA100,100% scale,California,,full-scale steel stairs ,"Detachment of a steel closure plate in stair landing. Minor Damage: primarily aesthetic or easily repairable damage that would not pose a hazard
to occupants. Does not compromise access.",,,0.011,drift,,,1,,
24,PAN-2016-FUL,48,,,Stairs,,,,,Dynamic,ICA100,100% scale,California,,full-scale steel stairs ,Fracture of the vertical weld at the connection between the upper flight stringer and the reduced area angle. ,,,0.014,drift,,,3,,
25,PAN-2016-FUL,48,,,Stairs,,,,,Dynamic,ICA100,100% scale,California,,full-scale steel stairs ,Fracture of the vertical weld at the connection between the upper flight stringer and the reduced area angle,,,0.007,drift,,,3,,
26,PAN-2016-FUL,48,,,Stairs,,,,,Dynamic,DEN67,100% scale,California,,full-scale steel stairs ,Yielding of the washers in the lower flight to slab connection,,,0.0266,drift,,,2,,
27,PAN-2016-FUL,48,,,Stairs,,,,,Dynamic,DEN67,100% scale,California,,full-scale steel stairs ,"Plastic deformation of the connection plate in the lower flight to landing connection, handrail fracture",,,0.0273,drift,,,2,,
28,PAN-2016-FUL,48,,,Stairs,,,,,Dynamic,DEN67,100% scale,California,,full-scale steel stairs ,"Fracture of welds in the lower flight to slab connection and upper flight to slab connection, handrail fracture",,,0.0209,drift,,,3,,
29,PAN-2016-FUL,48,,,Stairs,,,,,Dynamic,DEN67,100% scale,California,,full-scale steel stairs ,"Fracture of welds in the lower flight to slab connection and upper flight to slab connection, handrail fracture",,,0.0108,drift,,,3,,
30,PAN-2016-FUL,48,,,Stairs,,,,,Dynamic,DEN67,100% scale,California,,full-scale steel stairs ,Handrail fracture,,,0.0053,drift,,,1,,
31,PAN-2016-FUL,48,,,Stairs,,,,,Dynamic,DEN100,100% scale,California,,full-scale steel stairs ,Con_x0002_sisted of continued yielding of the washers at the lower flight to slab connection and plastic deformation of the steel plate connecting the lower flight to landing,,,0.0129,drift,,,3,,
32,PAN-2016-FUL,48,,,Stairs,,,,,Dynamic,DEN100,100% scale,California,,full-scale steel stairs ,Complete detachment of the lower flight from the structure due to the fracture of the lower flight to slab welds,,,0.0358,drift,,,3,,
33,PAN-2016-FUL,48,,,Elevators,,,,,Dynamic,,100% scale,California,,general elevator - technical details in other paper,Door gaps (<25mm) generated ,,,,,,,1,,
34,PAN-2016-FUL,48,,,Elevators,,,,,Dynamic,,100% scale,California,,general elevator - technical details in other paper,Inoperability of elevator due to substantial door gaps (200 mm) and crushing against partition walls,,,,,,,3,,
35,PAN-2016-FUL,48,,,Facades,,,,,Dynamic,CNP100,100% scale,California,,Steel balloon framing w/ overlaid stucco,Minor bulging of stucco,,,0.0047,drift,,,1,,
36,PAN-2016-FUL,48,,,Facades,,,,,Dynamic,LAC100,100% scale,California,,Steel balloon framing w/ overlaid stucco,Minor bulging of stucco,,,0.0056,drift,,,1,,
37,PAN-2016-FUL,48,,,Facades,,,,,Dynamic,ICA50,100% scale,California,,Steel balloon framing w/ overlaid stucco,Minor bulging of stucco and formation of small cracks,,,0.0096,drift,,,1,,
38,PAN-2016-FUL,48,,,Facades,,,,,Dynamic,ICA100,100% scale,California,,Steel balloon framing w/ overlaid stucco,Minor bulging of stucco and formation of small cracks,,,0.0143,drift,,,1,,
39,PAN-2016-FUL,48,,,Facades,,,,,Dynamic,DEN67,100% scale,California,,Steel balloon framing w/ overlaid stucco,"Bulging of stucco, formation of cracks, and failure of clips (~30%)",,,0.0276,drift,,,2,,
40,PAN-2016-FUL,48,,,Facades,,,,,Dynamic,DEN100,100% scale,California,,Steel balloon framing w/ overlaid stucco,"Bulging of stucco, formation of cracks, and failure of clips (~80%)",,,0.0601,drift,,,2,,
41,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,Jitendra,B2011,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,CNP100 (FB 1),"100% scale 
Peak inter-story drift =0.47%
Peak floor acceleration = 0.44g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,,,0.0025,drift,,,2,,
42,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,Jitendra,B2011,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,LAC100 (FB 2),"100% scale 
Peak inter-story drift =0.56%
Peak floor acceleration = 0.39g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,,,0.0027,drift,,,2,,
43,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,Jitendra,B2011,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,ICA50  (FB -3),"100% scale 
Peak inter-story drift =0.94%
Peak floor acceleration = 0.58g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,,,0.0043,drift,,,2,,
44,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,Jitendra,B2011,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,ICA100 (FB -4 ),"100% scale 
Peak inter-story drift =1.41%
Peak floor acceleration = 0.64g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,,,0.0074,drift,,,2,,
45,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,Jitendra,B2011,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,DEN67 ( FB-5),"100% scale 
Peak inter-story drift =2.75%
Peak floor acceleration = 0.99g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,,,0.011,drift,,,2,,
46,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,Jitendra,B2011,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,DEN100 (FB-6),"100% scale 
Peak inter-story drift =5.99%
Peak floor acceleration = 0.90g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,,,0.0129,drift,,,2,,
47,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,Jitendra,B2011,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,DEN67 ( FB-5),"100% scale 
Peak inter-story drift =2.75%
Peak floor acceleration = 0.99g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Yielding and permanent bending of flexing rod,,,0.011,drift,,,2,,
48,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,Jitendra,B2011,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,DEN100 (FB-6),"100% scale 
Peak inter-story drift =5.99%
Peak floor acceleration = 0.90g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Yielding and permanent bending of flexing rod,,,0.0129,drift,,,2,,
49,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,Jitendra,B2011,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,ICA50  (FB -3),"100% scale 
Peak inter-story drift =0.94%
Peak floor acceleration = 0.58g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Small cracking of ductile fuse at connection embed,,,0.0043,drift,,,1,,
50,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,Jitendra,B2011,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,ICA100 (FB -4 ),"100% scale 
Peak inter-story drift =1.41%
Peak floor acceleration = 0.64g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Small cracking of ductile fuse at connection embed,,,0.0074,drift,,,1,,
51,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,Jitendra,B2011,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,DEN67 ( FB-5),"100% scale 
Peak inter-story drift =2.75%
Peak floor acceleration = 0.99g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Small cracking of ductile fuse at connection embed,,,0.011,drift,,,1,,
