id,reference_id,specimen,reviewer,nistir_id,p58_db,p58_fragility,comp_type,sub_type,connection_detail,material_class,size_class,test_type,loading_protocol,peak_test_amplitude,location,design_objective,comp_description,ds_description,proir_damage,is_repaired,ds_intensity,ds_intensity_unit,ds_intensity_alt,ds_intensity_unit_alt,ds_rank,ds_class,notes
exp1011a,LEE-2007-SEI,Specimen No.2,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Gap around door frame,Out of plane deformation of gypsum board at lower interior corner next to door,,0.06,drift,,,,Consequential,
exp1012a,LEE-2007-SEI,Specimen No. 3,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Out of plane deformation of gypsum boards of orthogonal wall at corners,No prior damage,,0.01,drift,,,,Consequential,
exp1013a,LEE-2007-SEI,Specimen No. 3,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Crushing of gypsum boards at corners of orthogonal wall,Out of plane deformation of gypsum boards of orthogonal wall at corners,,0.015,drift,,,,Inconsequential,
exp1014a,LEE-2007-SEI,Specimen No. 3,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Crushing of gypsum boards at corners of inplane and orthogonal wall. ,Crushing of gypsum boards at corners of orthogonal wall,,0.04,drift,,,,Consequential,
exp1015a,LEE-2007-SEI,Specimen No. 3,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Extended crushing of gypsum boards of inplane and orthogonal wall. ,Crushing of gypsum boards at corners of inplane and orthogonal wall.,,0.06,,,,,Consequential,
exp1016a,LEE-2007-SEI,Specimen No. 3,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. full-scale drywall partitions with light steel studding  intersecting
each other at a 90o angle
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. 15 mm clearance between wall and column applied only to the east side of the specimen
",Detachment and falling of gypsum plasterboard on inplane wall,Extended crushing of gypsum boards of inplane and orthogonal wall.,,0.08,drift,,,,Consequential,
exp1017a,LEE-2007-SEI,Specimen No. 4,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Dynamic sinusoidal drift cycles,"No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Crushing of gypsum board at corners.,No prior damage,,0.01,drift,,,,Consequential,
exp1018a,LEE-2007-SEI,Specimen No. 4,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Dynamic sinusoidal drift cycles,"No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Joint cracks in vertical joints of gypsum boards,Crushing of gypsum board at corners.,,0.02,drift,,,,Consequential,
exp1019a,LEE-2007-SEI,Specimen No. 4,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Dynamic sinusoidal drift cycles,"No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Cracks in gypsum board,Joint cracks in vertical joints of gypsum boards,,0.04,drift,,,,Consequential,
exp1020a,LEE-2007-SEI,Specimen No. 4,NIST,C1011,Y,C1011.001d,Internal partition walls,Full height,Sliding,CFS,,Dynamic sinusoidal drift cycles,"No standard protocol mentioned.  
A series of sinusoidal loading, two cycles with the period of 1 s (one cycle) and the amplitude of 1/400, 1/200, . . . And 1/10, the same as those specified in quasi-static test.",10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical end of the drywall partition, 15 mm.",Detachment and falling of gypsum board ,Cracks in gypsum board,,0.1,drift,,,,Consequential,
exp1021a,WAN-2017-SHA,50,NIST,,N,,Elevators,,,,,Dynamic,DEN100,100% scale,California,,Traction elevator with a total weight of 25kN and a 16kN counterweight,Door gaps (<25mm) generated and minor crushing of the door against partition walls,,,0.025,drift,,,1,,"""inspection conducted during the demolition stage (after all tests were complete) revealed no visible damage to the cabin, the counterweight, the guide rail and anchorage system"" "
exp1022a,WAN-2017-SHA,50,NIST,,N,,Elevators,,,,,Dynamic,DEN100,100% scale,California,,Traction elevator with a total weight of 25kN and a 16kN counterweight,inoperability of elevator due to substantial door gaps (200 mm) and crushing against partition walls,,,0.035,drift,,,2,,
exp1035a,PAN-2016-FUL,48,NIST,,N,,Facades,,,,,Dynamic,CNP100,100% scale,California,,Steel balloon framing w/ overlaid stucco,Minor bulging of stucco,,,0.0047,drift,,,1,,
exp1036a,PAN-2016-FUL,48,NIST,,N,,Facades,,,,,Dynamic,LAC100,100% scale,California,,Steel balloon framing w/ overlaid stucco,Minor bulging of stucco,,,0.0056,drift,,,1,,
exp1037a,PAN-2016-FUL,48,NIST,,N,,Facades,,,,,Dynamic,ICA50,100% scale,California,,Steel balloon framing w/ overlaid stucco,Minor bulging of stucco and formation of small cracks,,,0.0096,drift,,,1,,
exp1038a,PAN-2016-FUL,48,NIST,,N,,Facades,,,,,Dynamic,ICA100,100% scale,California,,Steel balloon framing w/ overlaid stucco,Minor bulging of stucco and formation of small cracks,,,0.0143,drift,,,1,,
exp1039a,PAN-2016-FUL,48,NIST,,N,,Facades,,,,,Dynamic,DEN67,100% scale,California,,Steel balloon framing w/ overlaid stucco,"Bulging of stucco, formation of cracks, and failure of clips (~30%)",,,0.0276,drift,,,2,,
exp1040a,PAN-2016-FUL,48,NIST,,N,,Facades,,,,,Dynamic,DEN100,100% scale,California,,Steel balloon framing w/ overlaid stucco,"Bulging of stucco, formation of cracks, and failure of clips (~80%)",,,0.0601,drift,,,2,,
exp1041a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,N,,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,CNP100 (FB 1),"100% scale 
Peak inter-story drift =0.47%
Peak floor acceleration = 0.44g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,,,0.0025,drift,,,2,Inconsequential,
exp1042a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,N,,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,LAC100 (FB 2),"100% scale 
Peak inter-story drift =0.56%
Peak floor acceleration = 0.39g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,,,0.0027,drift,,,2,Inconsequential,
exp1043a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,N,,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,ICA50  (FB -3),"100% scale 
Peak inter-story drift =0.94%
Peak floor acceleration = 0.58g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,,,0.0043,drift,,,2,Inconsequential,
exp1044a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,N,,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,ICA100 (FB -4 ),"100% scale 
Peak inter-story drift =1.41%
Peak floor acceleration = 0.64g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,,,0.0074,drift,,,2,Inconsequential,
exp1045a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,N,,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,DEN67 ( FB-5),"100% scale 
Peak inter-story drift =2.75%
Peak floor acceleration = 0.99g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,,,0.011,drift,,,2,Inconsequential,
exp1046a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,N,,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,DEN100 (FB-6),"100% scale 
Peak inter-story drift =5.99%
Peak floor acceleration = 0.90g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Sliding connections with long rods experienced plastic deformation,,,0.0129,drift,,,2,Inconsequential,
exp1047a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,N,,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,DEN67 ( FB-5),"100% scale 
Peak inter-story drift =2.75%
Peak floor acceleration = 0.99g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Yielding and permanent bending of flexing rod,,,0.011,drift,,,2,Consequential,
exp1048a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,N,,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,DEN100 (FB-6),"100% scale 
Peak inter-story drift =5.99%
Peak floor acceleration = 0.90g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Yielding and permanent bending of flexing rod,,,0.0129,drift,,,2,Consequential,
exp1049a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,N,,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,ICA50  (FB -3),"100% scale 
Peak inter-story drift =0.94%
Peak floor acceleration = 0.58g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Small cracking of ductile fuse at connection embed,,,0.0043,drift,,,1,Consequential,
exp1050a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,N,,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,ICA100 (FB -4 ),"100% scale 
Peak inter-story drift =1.41%
Peak floor acceleration = 0.64g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Small cracking of ductile fuse at connection embed,,,0.0074,drift,,,1,Inconsequential,
exp1051a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,N,,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,DEN67 ( FB-5),"100% scale 
Peak inter-story drift =2.75%
Peak floor acceleration = 0.99g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Small cracking of ductile fuse at connection embed,,,0.011,drift,,,1,Inconsequential,
exp1052a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,N,,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,DEN100 (FB-6),"100% scale 
Peak inter-story drift =5.99%
Peak floor acceleration = 0.90g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Small cracking of ductile fuse at connection embed,,,0.0129,drift,,,1,Inconsequential,
exp1053a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,N,,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,DEN67 ( FB-5),"100% scale 
Peak inter-story drift =2.75%
Peak floor acceleration = 0.99g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Slight permanent bending of ductile fuse at connection plate,,,0.011,drift,,,1,Inconsequential,
exp1054a,PAN-2016-FUL,Precast Concrete Cladding Panels: L 4-5,NIST,B2011,N,,Precast concrete cladding panels,Horizontal Sliding/Swaying,Threaded rod,Sealant,,Uni-direction Dynamic shake table test,DEN100 (FB-6),"100% scale 
Peak inter-story drift =5.99%
Peak floor acceleration = 0.90g","UCSD, California","advance the understanding of the seismic behavior of NCSs: 
1. Use of ductile fuse
2. Sliding connection
3. Flexing connections",Concrete cladding panels embedded in the building,Large cracks (>0.5mm) and permanent bending (>20mm) at and of plate close to fuse embed,,,0.0129,drift,,,2,Consequential,
