id,ref_id,reviewer,source,basis,type,load_protocol,num_observations,nistir_id,comp_type,sub_type,detailing,material,size_class,comp_description,location,edp,edp_unit,ds_rank,ds_description,median,beta,probability
26,TAT-2018-INP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements on all sides, fixed on all sides",Italy,Story Drift Ratio,Unitless,2.0,"Detachment between indoor partition walls and surrounding
structural elements (>5 mm), Crack in panels, Corner crushing of panels, Local plastic deformations of studs, Rupture of panel portions (≤50 cm2), Collapse of panel‐to‐frame fixings (≤5%), Collapse of dowels (≤5%)  ",1.05,0.29,
27,TAT-2018-INP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements on all sides, sliding connections on either horizontal or both horizontal and vertical  sides",Italy,Story Drift Ratio,Unitless,2.0,"Detachment between indoor partition walls and surrounding
structural elements (>5 mm), Crack in panels, Corner crushing of panels, Local plastic deformations of studs, Rupture of panel portions (≤50 cm2), Collapse of panel‐to‐frame fixings (≤5%), Collapse of dowels (≤5%)  ",1.52,0.25,
28,TAT-2018-INP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements at top and bottom, fixed connection at horizontal sides",Italy,Story Drift Ratio,Unitless,2.0,"Detachment between indoor partition walls and surrounding
structural elements (>5 mm), Crack in panels, Corner crushing of panels, Local plastic deformations of studs, Rupture of panel portions (≤50 cm2), Collapse of panel‐to‐frame fixings (≤5%), Collapse of dowels (≤5%)  ",1.18,0.28,
29,TAT-2018-INP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements at top and bottom, sliding connection at horizontal sides",Italy,Story Drift Ratio,Unitless,2.0,"Detachment between indoor partition walls and surrounding
structural elements (>5 mm), Crack in panels, Corner crushing of panels, Local plastic deformations of studs, Rupture of panel portions (≤50 cm2), Collapse of panel‐to‐frame fixings (≤5%), Collapse of dowels (≤5%)  ",1.01,0.25,
30,TAT-2018-INP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements on all sides, fixed on all sides",Italy,Story Drift Ratio,Unitless,3.0,"Rupture of panel portions (>50 cm2), Collapse of panel‐to‐frame fixings (>5%), Collapse of dowels (>5%), Detachment between indoor partition walls and outdoor  façade walls, Out‐of‐plane collapse of panels,  Wall out‐of‐plane collapse  ",1.49,0.29,
31,TAT-2018-INP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements on all sides, sliding connections on either horizontal or both horizontal and vertical  sides",Italy,Story Drift Ratio,Unitless,3.0,"Rupture of panel portions (>50 cm2), Collapse of panel‐to‐frame fixings (>5%), Collapse of dowels (>5%), Detachment between indoor partition walls and outdoor  façade walls, Out‐of‐plane collapse of panels,  Wall out‐of‐plane collapse  ",2.1,0.25,
32,TAT-2018-INP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements at top and bottom, fixed connection at horizontal sides",Italy,Story Drift Ratio,Unitless,3.0,"Rupture of panel portions (>50 cm2), Collapse of panel‐to‐frame fixings (>5%), Collapse of dowels (>5%), Detachment between indoor partition walls and outdoor  façade walls, Out‐of‐plane collapse of panels,  Wall out‐of‐plane collapse  ",1.44,0.39,
33,TAT-2018-INP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements at top and bottom, sliding connection at horizontal sides",Italy,Story Drift Ratio,Unitless,3.0,"Rupture of panel portions (>50 cm2), Collapse of panel‐to‐frame fixings (>5%), Collapse of dowels (>5%), Detachment between indoor partition walls and outdoor  façade walls, Out‐of‐plane collapse of panels,  Wall out‐of‐plane collapse  ",1.2,0.29,
34,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height commercial-slip tracks: Specimens 1–3, 31, and 32;","Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.26,0.45,
35,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height commercial-partial/full
connections:Specimens 4–10","Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.27,0.45,
36,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height commercial-all,"Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.27,0.44,
37,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height institutional-slip tracks: Specimens 20–22;,"Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.37,0.62,
38,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height institutional partial/full
connections: Specimens 23–28","Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.4,0.25,
39,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height institutional-all,"Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.39,0.38,
40,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Partial-height: Specimens 17–19 and 48–50,"Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.74,0.29,
41,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Improved corner details: Specimens 33–36.,"Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.36,0.8,
42,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height commercial-slip tracks: Specimens 1–3, 31, and 32;","Buffalo, NY",Story Drift Ratio,Unitless,2.0,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.68,0.33,
43,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height commercial-partial/full
connections:Specimens 4–10","Buffalo, NY",Story Drift Ratio,Unitless,2.0,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.61,0.42,
44,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height commercial-all,"Buffalo, NY",Story Drift Ratio,Unitless,2.0,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.64,0.38,
45,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height institutional-slip tracks: Specimens 20–22;,"Buffalo, NY",Story Drift Ratio,Unitless,2.0,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.79,0.35,
46,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height institutional partial/full
connections: Specimens 23–28","Buffalo, NY",Story Drift Ratio,Unitless,2.0,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.63,0.46,
47,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height institutional-all,"Buffalo, NY",Story Drift Ratio,Unitless,2.0,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.68,0.43,
48,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Partial-height: Specimens 17–19 and 48–50,"Buffalo, NY",Story Drift Ratio,Unitless,2.0,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",1.0,0.33,
49,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height commercial-slip tracks: Specimens 1–3, 31, and 32;","Buffalo, NY",Story Drift Ratio,Unitless,3.0,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",0.75,0.36,
50,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height commercial-partial/full
connections:Specimens 4–10","Buffalo, NY",Story Drift Ratio,Unitless,3.0,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",1.2,0.59,
51,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height commercial-all,"Buffalo, NY",Story Drift Ratio,Unitless,3.0,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",0.99,0.55,
52,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height institutional partial/full
connections: Specimens 23–28","Buffalo, NY",Story Drift Ratio,Unitless,3.0,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",0.88,0.33,
53,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height institutional-all,"Buffalo, NY",Story Drift Ratio,Unitless,3.0,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",0.93,0.36,
54,RYA-2011-EXP,Jitendra,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Partial-height: Specimens 17–19 and 48–50,"Buffalo, NY",Story Drift Ratio,Unitless,3.0,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",1.79,0.28,
55,B2011.001a,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",,Story Drift Ratio,Unitless,1.0,Sheathing faster pull through or tear out.  (20% of fasteners.),0.004,0.4,1.0
56,B2011.001a,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",,Story Drift Ratio,Unitless,2.0,Failure of structural panels.  ,0.0226,0.3,1.0
57,B2011.001a,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",,Story Drift Ratio,Unitless,3.0,Failure of wall.,0.0267,0.25,1.0
58,B2011.001b,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",,Story Drift Ratio,Unitless,1.0,Sheathing faster pull through or tear out.  (20% of fasteners.),0.004,0.4,1.0
59,B2011.001b,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",,Story Drift Ratio,Unitless,2.0,Failure of structural panels.  ,0.0226,0.3,1.0
60,B2011.001b,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",,Story Drift Ratio,Unitless,3.0,Failure of wall.,0.0267,0.25,1.0
61,B2011.011a,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with flat strap X-bracing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 4.5 inch x 33 mil flat strap X-bracing on one side. Straps attached to gussets with No. 8 screws.",,Story Drift Ratio,Unitless,1.0,Local buckling of chord studs.,0.0139,0.25,1.0
62,B2011.011a,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with flat strap X-bracing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 4.5 inch x 33 mil flat strap X-bracing on one side. Straps attached to gussets with No. 8 screws.",,Story Drift Ratio,Unitless,2.0,Failure of many framing members and collapse.,0.0179,0.25,1.0
63,B2011.011b,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with flat strap X-bracing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 4.5 inch x 33 mil flat strap X-bracing on one side. Straps attached to gussets with No. 8 screws.",,Story Drift Ratio,Unitless,1.0,Local buckling of chord studs.,0.0139,0.25,1.0
64,B2011.011b,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with flat strap X-bracing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 4.5 inch x 33 mil flat strap X-bracing on one side. Straps attached to gussets with No. 8 screws.",,Story Drift Ratio,Unitless,2.0,Failure of many framing members and collapse.,0.0179,0.25,1.0
65,B2011.021a,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with 22 or 31 mil steel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 22 or 31 mil steel sheathing attached with No. 8 screws spaced 2"" or 6"" OC at perimeter and 12"" OC EW in the field.",,Story Drift Ratio,Unitless,1.0,Pull out of sheathing fasteners from studs.,0.019,0.25,1.0
66,B2011.021a,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with 22 or 31 mil steel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 22 or 31 mil steel sheathing attached with No. 8 screws spaced 2"" or 6"" OC at perimeter and 12"" OC EW in the field.",,Story Drift Ratio,Unitless,2.0,Buckling of steel sheathing.  Buckling of framing members.,0.0253,0.25,1.0
67,B2011.021b,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with 22 or 31 mil steel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 22 or 31 mil steel sheathing attached with No. 8 screws spaced 2"" or 6"" OC at perimeter and 12"" OC EW in the field.",,Story Drift Ratio,Unitless,1.0,Pull out of sheathing fasteners from studs.,0.019,0.25,1.0
68,B2011.021b,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with 22 or 31 mil steel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 22 or 31 mil steel sheathing attached with No. 8 screws spaced 2"" or 6"" OC at perimeter and 12"" OC EW in the field.",,Story Drift Ratio,Unitless,2.0,Buckling of steel sheathing.  Buckling of framing members.,0.0253,0.25,1.0
69,B2011.101,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, no hold-downs.",,Story Drift Ratio,Unitless,1.0,Slight separation of sheathing or nails which come loose.,0.01,0.4,1.0
70,B2011.101,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, no hold-downs.",,Story Drift Ratio,Unitless,2.0,"Permanent rotation of sheathing, tear out of nails or sheathing.",0.0175,0.4,1.0
71,B2011.101,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, no hold-downs.",,Story Drift Ratio,Unitless,3.0,"Fracture of studs, major sill plate cracking.",0.025,0.4,1.0
72,B2011.102,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Light framed wood walls with structural panel sheathing, stucco, hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, with hold-downs. Three layer 7/8"" stucco with 1/2-inch chop strand fibers applied over wire mesh fastened with 1.25 -inch long staples.",,Story Drift Ratio,Unitless,1.0,Cracking of stucco.,0.0025,0.44,1.0
73,B2011.102,Dustin,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Light framed wood walls with structural panel sheathing, stucco, hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, with hold-downs. Three layer 7/8"" stucco with 1/2-inch chop strand fibers applied over wire mesh fastened with 1.25 -inch long staples.",,Story Drift Ratio,Unitless,2.0,"Spalling of stucco, separation of stucco and sheathing from studs. ",0.0052,0.3,1.0
