id,reference_id,reviewer,source,basis,type,load_protocol,num_observations,nistir_id,comp_type,sub_type,detailing,material,size_class,comp_description,location,edp,edp_unit,ds_rank,ds_description,median,beta,probability
fra1011a,TIA-2012-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Schedule 10 Steel with Groove Fit Connections - Pipe size 4 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.079,0.105,
fra1012a,TIA-2012-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level- Tee joint- Schedule 10 Steel with Groove Fit Connections - Pipe size 2 inches, 40 psi","UB, New York",joint rotation,radians,1.0,First leakage,0.059,0.102,
fra1013a,TAO-2019-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level - Tee joint - two 6"" (DN150) galvanized steel pipe connected to one 3.14"" (DN80) pipe - Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",China,joint rotation,radians,1.0,"Massive Leakage, pressure drops to 0 psi",0.0891,0.2907,
fra1014a,TAO-2019-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level - Tee joint - two 6"" (DN150) galvanized steel pipe connected to one 3.14"" (DN80) pipe - Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",China,joint rotation,radians,2.0,"
complete damage of the joints, including the resistance
force dropping to 85% of the peak force, visible cracks, and the pipe pull-out",0.1195,0.2686,
fra1015a,TAO-2019-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level - Tee joint - two 6"" (DN150) galvanized steel pipe connected to one 3.14"" (DN80) pipe - Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",China,joint rotation,radians,1.0,"Massive Leakage, pressure drops to 0 psi",0.2174,0.2591,
fra1016a,TAO-2019-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level - Tee joint - two 6"" (DN150) galvanized steel pipe connected to one 3.14"" (DN80) pipe - Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",China,joint rotation,radians,2.0,"
complete damage of the joints, including the resistance
force dropping to 85% of the peak force, visible cracks, and the pipe pull-out",0.2987,0.2543,
fra1017a,TAO-2019-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level - 90◦ elbow joint connected with two 6"" (DN150) galvanized steel pipe  Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",China,joint rotation,radians,1.0,"Massive Leakage, pressure drops to 0 psi",0.0642,0.3129,
fra1018a,TAO-2019-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"Component level - 90◦ elbow joint connected with two 6"" (DN150) galvanized steel pipe  Cast iron lathedog-plumbings and grooved fit pipe joints, 232 psi (1.6 Mpa)",China,joint rotation,radians,2.0,"
complete damage of the joints, including the resistance
force dropping to 85% of the peak force, visible cracks, and the pipe pull-out",0.0964,0.3979,
fra1019a,GOO-2004-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,"⅛-inch diameter galvanized 7 x 19 (number of strands x wires per strand) aircraft-grade steel with a specified minimum break strength of 1700 pounds,
The cable support was threaded, and a screw was clamped on top.","Nevada, Reno",tensile force,kips,,failed at the clamped portion of the cable,1.471,0.154,
fra1020a,GOO-2004-EXP,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,5/8 in dia rods - pipe hangers,"Nevada, Reno",tensile force,kips,,Load drops to zero,19.16,0.022,
fra1021a,SOR-2013-ANA,NIST,Literature,experimental,static,,,D4011,Fire Sprinkler,,,,,gauge 12 wire restrainers,"Nevada, Reno",tensile force,kips,,Load drops to zero,0.596,0.063,
fra1022a,TAT-2018-INP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements on all sides, fixed on all sides",Italy,Story Drift Ratio,Unitless,1.0,"Drop of gypsum dust, Detachment of joint tape, Crack in joints, Detachment between indoor partition walls and surrounding structural elements (≤5 mm) ",0.37,0.51,
fra1023a,TAT-2018-INP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements on all sides, sliding connections on either horizontal or both horizontal and vertical  sides",Italy,Story Drift Ratio,Unitless,1.0,"Drop of gypsum dust, Detachment of joint tape, Crack in joints, Detachment between indoor partition walls and surrounding structural elements (≤5 mm) ",1.27,0.28,
fra1024a,TAT-2018-INP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements at top and bottom, fixed connection at horizontal sides",Italy,Story Drift Ratio,Unitless,1.0,"Drop of gypsum dust, Detachment of joint tape, Crack in joints, Detachment between indoor partition walls and surrounding structural elements (≤5 mm) ",0.78,0.35,
fra1025a,TAT-2018-INP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements at top and bottom, sliding connection at horizontal sides",Italy,Story Drift Ratio,Unitless,1.0,"Drop of gypsum dust, Detachment of joint tape, Crack in joints, Detachment between indoor partition walls and surrounding structural elements (≤5 mm) ",0.7,0.39,
fra1026a,TAT-2018-INP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements on all sides, fixed on all sides",Italy,Story Drift Ratio,Unitless,2.0,"Detachment between indoor partition walls and surrounding
structural elements (>5 mm), Crack in panels, Corner crushing of panels, Local plastic deformations of studs, Rupture of panel portions (≤50 cm2), Collapse of panel‐to‐frame fixings (≤5%), Collapse of dowels (≤5%)  ",1.05,0.29,
fra1027a,TAT-2018-INP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements on all sides, sliding connections on either horizontal or both horizontal and vertical  sides",Italy,Story Drift Ratio,Unitless,2.0,"Detachment between indoor partition walls and surrounding
structural elements (>5 mm), Crack in panels, Corner crushing of panels, Local plastic deformations of studs, Rupture of panel portions (≤50 cm2), Collapse of panel‐to‐frame fixings (≤5%), Collapse of dowels (≤5%)  ",1.52,0.25,
fra1028a,TAT-2018-INP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements at top and bottom, fixed connection at horizontal sides",Italy,Story Drift Ratio,Unitless,2.0,"Detachment between indoor partition walls and surrounding
structural elements (>5 mm), Crack in panels, Corner crushing of panels, Local plastic deformations of studs, Rupture of panel portions (≤50 cm2), Collapse of panel‐to‐frame fixings (≤5%), Collapse of dowels (≤5%)  ",1.18,0.28,
fra1029a,TAT-2018-INP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements at top and bottom, sliding connection at horizontal sides",Italy,Story Drift Ratio,Unitless,2.0,"Detachment between indoor partition walls and surrounding
structural elements (>5 mm), Crack in panels, Corner crushing of panels, Local plastic deformations of studs, Rupture of panel portions (≤50 cm2), Collapse of panel‐to‐frame fixings (≤5%), Collapse of dowels (≤5%)  ",1.01,0.25,
fra1030a,TAT-2018-INP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements on all sides, fixed on all sides",Italy,Story Drift Ratio,Unitless,3.0,"Rupture of panel portions (>50 cm2), Collapse of panel‐to‐frame fixings (>5%), Collapse of dowels (>5%), Detachment between indoor partition walls and outdoor  façade walls, Out‐of‐plane collapse of panels,  Wall out‐of‐plane collapse  ",1.49,0.29,
fra1031a,TAT-2018-INP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements on all sides, sliding connections on either horizontal or both horizontal and vertical  sides",Italy,Story Drift Ratio,Unitless,3.0,"Rupture of panel portions (>50 cm2), Collapse of panel‐to‐frame fixings (>5%), Collapse of dowels (>5%), Detachment between indoor partition walls and outdoor  façade walls, Out‐of‐plane collapse of panels,  Wall out‐of‐plane collapse  ",2.1,0.25,
fra1032a,TAT-2018-INP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements at top and bottom, fixed connection at horizontal sides",Italy,Story Drift Ratio,Unitless,3.0,"Rupture of panel portions (>50 cm2), Collapse of panel‐to‐frame fixings (>5%), Collapse of dowels (>5%), Detachment between indoor partition walls and outdoor  façade walls, Out‐of‐plane collapse of panels,  Wall out‐of‐plane collapse  ",1.44,0.39,
fra1033a,TAT-2018-INP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,," The indoor partition wall is surrounded by structural elements at top and bottom, sliding connection at horizontal sides",Italy,Story Drift Ratio,Unitless,3.0,"Rupture of panel portions (>50 cm2), Collapse of panel‐to‐frame fixings (>5%), Collapse of dowels (>5%), Detachment between indoor partition walls and outdoor  façade walls, Out‐of‐plane collapse of panels,  Wall out‐of‐plane collapse  ",1.2,0.29,
fra1034a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height commercial-slip tracks: Specimens 1–3, 31, and 32;","Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.26,0.45,
fra1035a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height commercial-partial/full
connections:Specimens 4–10","Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.27,0.45,
fra1036a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height commercial-all,"Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.27,0.44,
fra1037a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height institutional-slip tracks: Specimens 20–22;,"Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.37,0.62,
fra1038a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height institutional partial/full
connections: Specimens 23–28","Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.4,0.25,
fra1039a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height institutional-all,"Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.39,0.38,
fra1040a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Partial-height: Specimens 17–19 and 48–50,"Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.74,0.29,
fra1041a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Improved corner details: Specimens 33–36.,"Buffalo, NY",Story Drift Ratio,Unitless,1.0,"Cracks along cornerbeads, and joint paper tape;
screws pulled out from gypsum",0.36,0.8,
fra1042a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height commercial-slip tracks: Specimens 1–3, 31, and 32;","Buffalo, NY",Story Drift Ratio,Unitless,2.0,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.68,0.33,
fra1043a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height commercial-partial/full
connections:Specimens 4–10","Buffalo, NY",Story Drift Ratio,Unitless,2.0,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.61,0.42,
fra1044a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height commercial-all,"Buffalo, NY",Story Drift Ratio,Unitless,2.0,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.64,0.38,
fra1045a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height institutional-slip tracks: Specimens 20–22;,"Buffalo, NY",Story Drift Ratio,Unitless,2.0,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.79,0.35,
fra1046a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height institutional partial/full
connections: Specimens 23–28","Buffalo, NY",Story Drift Ratio,Unitless,2.0,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.63,0.46,
fra1047a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height institutional-all,"Buffalo, NY",Story Drift Ratio,Unitless,2.0,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",0.68,0.43,
fra1048a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Partial-height: Specimens 17–19 and 48–50,"Buffalo, NY",Story Drift Ratio,Unitless,2.0,"Crushing of wall corners, out-of-plane bending
and cracking of gypsum wallboards at wall
intersections, bending of boundary studs,
buckling of diagonal braces (partial height walls)",1.0,0.33,
fra1049a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height commercial-slip tracks: Specimens 1–3, 31, and 32;","Buffalo, NY",Story Drift Ratio,Unitless,3.0,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",0.75,0.36,
fra1050a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height commercial-partial/full
connections:Specimens 4–10","Buffalo, NY",Story Drift Ratio,Unitless,3.0,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",1.2,0.59,
fra1051a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height commercial-all,"Buffalo, NY",Story Drift Ratio,Unitless,3.0,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",0.99,0.55,
fra1052a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,"Full-height institutional partial/full
connections: Specimens 23–28","Buffalo, NY",Story Drift Ratio,Unitless,3.0,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",0.88,0.33,
fra1053a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Full-height institutional-all,"Buffalo, NY",Story Drift Ratio,Unitless,3.0,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",0.93,0.36,
fra1054a,DAV-2011-EXP,NIST,Literature,experimental,static,,,C1011,Internal partition walls,,,,,Partial-height: Specimens 17–19 and 48–50,"Buffalo, NY",Story Drift Ratio,Unitless,3.0,"Tears in steel tracks through slab fasteners, track
flanges bent at wall intersections, hinges forming
in studs, partition wall collapse",1.79,0.28,
fra1055a,B2011.001a,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",,Story Drift Ratio,Unitless,1.0,Sheathing faster pull through or tear out.  (20% of fasteners.),0.004,0.4,1.0
fra1056a,B2011.001a,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",,Story Drift Ratio,Unitless,2.0,Failure of structural panels.  ,0.0226,0.3,1.0
fra1057a,B2011.001a,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",,Story Drift Ratio,Unitless,3.0,Failure of wall.,0.0267,0.25,1.0
fra1058a,B2011.001b,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",,Story Drift Ratio,Unitless,1.0,Sheathing faster pull through or tear out.  (20% of fasteners.),0.004,0.4,1.0
fra1059a,B2011.001b,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",,Story Drift Ratio,Unitless,2.0,Failure of structural panels.  ,0.0226,0.3,1.0
fra1060a,B2011.001b,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with wood structural panel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 38 mil cold formed steel framing with 7/16 OSB and 3/8 plywood panel sheathing with overturning restraint at each end of the wall per AISI design standard. No. 8 screws 2"" to 6"" OC at perimeter and 12"" OC EW in field.",,Story Drift Ratio,Unitless,3.0,Failure of wall.,0.0267,0.25,1.0
fra1061a,B2011.011a,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with flat strap X-bracing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 4.5 inch x 33 mil flat strap X-bracing on one side. Straps attached to gussets with No. 8 screws.",,Story Drift Ratio,Unitless,1.0,Local buckling of chord studs.,0.0139,0.25,1.0
fra1062a,B2011.011a,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with flat strap X-bracing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 4.5 inch x 33 mil flat strap X-bracing on one side. Straps attached to gussets with No. 8 screws.",,Story Drift Ratio,Unitless,2.0,Failure of many framing members and collapse.,0.0179,0.25,1.0
fra1063a,B2011.011b,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with flat strap X-bracing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 4.5 inch x 33 mil flat strap X-bracing on one side. Straps attached to gussets with No. 8 screws.",,Story Drift Ratio,Unitless,1.0,Local buckling of chord studs.,0.0139,0.25,1.0
fra1064a,B2011.011b,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with flat strap X-bracing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 4.5 inch x 33 mil flat strap X-bracing on one side. Straps attached to gussets with No. 8 screws.",,Story Drift Ratio,Unitless,2.0,Failure of many framing members and collapse.,0.0179,0.25,1.0
fra1065a,B2011.021a,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with 22 or 31 mil steel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 22 or 31 mil steel sheathing attached with No. 8 screws spaced 2"" or 6"" OC at perimeter and 12"" OC EW in the field.",,Story Drift Ratio,Unitless,1.0,Pull out of sheathing fasteners from studs.,0.019,0.25,1.0
fra1066a,B2011.021a,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with 22 or 31 mil steel sheathing, interior - gypsum board - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 22 or 31 mil steel sheathing attached with No. 8 screws spaced 2"" or 6"" OC at perimeter and 12"" OC EW in the field.",,Story Drift Ratio,Unitless,2.0,Buckling of steel sheathing.  Buckling of framing members.,0.0253,0.25,1.0
fra1067a,B2011.021b,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with 22 or 31 mil steel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 22 or 31 mil steel sheathing attached with No. 8 screws spaced 2"" or 6"" OC at perimeter and 12"" OC EW in the field.",,Story Drift Ratio,Unitless,1.0,Pull out of sheathing fasteners from studs.,0.019,0.25,1.0
fra1068a,B2011.021b,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Cold formed steel walls with 22 or 31 mil steel sheathing, exterior - stucco one side - Costing for each 100 ft^2 Wall Panel. Assumed framing: 33 mil cold formed steel framing with 22 or 31 mil steel sheathing attached with No. 8 screws spaced 2"" or 6"" OC at perimeter and 12"" OC EW in the field.",,Story Drift Ratio,Unitless,2.0,Buckling of steel sheathing.  Buckling of framing members.,0.0253,0.25,1.0
fra1069a,B2011.101,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, no hold-downs.",,Story Drift Ratio,Unitless,1.0,Slight separation of sheathing or nails which come loose.,0.01,0.4,1.0
fra1070a,B2011.101,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, no hold-downs.",,Story Drift Ratio,Unitless,2.0,"Permanent rotation of sheathing, tear out of nails or sheathing.",0.0175,0.4,1.0
fra1071a,B2011.101,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, no hold-downs.",,Story Drift Ratio,Unitless,3.0,"Fracture of studs, major sill plate cracking.",0.025,0.4,1.0
fra1072a,B2011.102,NIST,FEMA P-58,,,,,B2011,Exterior Wall,,,,,"Exterior Wall - Light framed wood walls with structural panel sheathing, stucco, hold-downs - Costing for each 100 ft^2 Wall Panel. Assumed framing: 1 SIDE: 3/8"" OSB or 15/32 ply with 8d box nails at 4 to 6 inches along panel edges and 12 inches field nailing. DF #2, 2x4@16 studs. 1 SIDE: 1/2 gypsum board. Panel 8 feet tall, 8 or 16 feet long with or without door and window openings, double top plate, single bottom plate, with hold-downs. Three layer 7/8"" stucco with 1/2-inch chop strand fibers applied over wire mesh fastened with 1.25 -inch long staples.",,Story Drift Ratio,Unitless,1.0,Cracking of stucco.,0.0025,0.44,1.0
